# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
660	-4792	1646	957
661	-4792	1646	957
662	-4802	1632	900
663	-4843	1667	831
664	-4912	1699	711
665	-4912	1699	711
666	-4991	1730	561
667	-5084	1786	490
668	-5144	1860	380
669	-5223	1928	319
670	-5223	1928	319
671	-5281	2005	236
672	-5358	2093	157
673	-5325	2086	95
674	-5325	2086	95
675	-5325	2170	5
676	-5298	2176	-86
677	-5256	2171	-157
678	-5172	2138	-258
679	-5172	2138	-258
680	-5086	2147	-300
681	-5073	2141	-398
682	-5034	2130	-393
683	-5034	2130	-393
684	-5074	2179	-420
685	-5091	2238	-460
686	-5089	2327	-541
687	-5149	2383	-599
688	-5149	2383	-599
689	-5109	2422	-676
690	-5084	2487	-730
691	-5062	2533	-801
692	-5062	2533	-801
693	-5018	2570	-904
694	-4976	2625	-1034
695	-4934	2647	-1094
696	-4859	2697	-1149
697	-4859	2697	-1149
698	-4754	2704	-1201
699	-4676	2748	-1284
700	-4659	2833	-1345
701	-4659	2833	-1345
702	-4612	2888	-1399
703	-4660	2951	-1296
704	-4693	3006	-1268
705	-4689	3027	-1300
706	-4689	3027	-1300
707	-4698	3039	-1258
708	-4620	3063	-1376
709	-4591	3121	-1406
710	-4591	3121	-1406
711	-4484	3147	-1375
712	-4432	3114	-1409
713	-4354	3104	-1480
714	-4354	3104	-1480
715	-4268	3159	-1520
716	-4200	3186	-1573
717	-4131	3262	-1638
718	-4049	3302	-1718
719	-4049	3302	-1718
720	-3899	3394	-1802
721	-3756	3427	-1840
722	-3570	3421	-1874
723	-3359	3440	-1878
724	-3359	3440	-1878
725	-3165	3445	-1998
726	-2992	3452	-1995
727	-2791	3485	-2014
728	-2791	3485	-2014
729	-2630	3529	-2003
730	-2504	3577	-1965
731	-2413	3624	-1932
732	-2305	3686	-1878
733	-2305	3686	-1878
734	-2268	3678	-1876
735	-2220	3641	-1889
736	-2147	3560	-1891
737	-2147	3560	-1891
738	-2111	3462	-1842
739	-2081	3404	-1857
740	-2040	3363	-1839
741	-1985	3422	-1864
742	-1985	3422	-1864
743	-1889	3411	-1827
744	-1808	3397	-1810
745	-1766	3379	-1803
746	-1766	3379	-1803
747	-1667	3389	-1820
748	-1574	3399	-1787
749	-1489	3358	-1773
750	-1427	3277	-1725
751	-1427	3277	-1725
752	-1338	3238	-1712
753	-1213	3142	-1680
754	-1127	3091	-1615
755	-1127	3091	-1615
756	-999	2989	-1547
757	-880	2912	-1444
758	-801	2849	-1396
759	-801	2849	-1396
760	-638	2799	-1217
761	-498	2745	-1082
762	-366	2737	-927
763	-252	2782	-803
764	-252	2782	-803
765	-126	2769	-619
766	-61	2869	-446
767	-16	2892	-284
768	-16	2892	-284
769	-6	2870	-150
770	49	2850	-30
771	29	2776	62
772	-14	2795	68
773	-14	2795	68
774	-46	2844	161
775	-72	2935	208
776	-74	2969	300
777	-74	2969	300
778	-95	2958	399
779	-24	2967	515
780	-1	2899	546
781	29	2901	658
782	29	2901	658
783	50	2898	773
784	57	2919	827
785	63	3001	916
786	63	3001	916
787	89	3079	1037
788	131	3068	1114
789	113	3036	1208
790	128	3039	1285
791	128	3039	1285
792	169	3001	1333
793	117	3007	1444
794	125	2959	1507
795	125	2959	1507
796	130	2943	1599
797	144	2906	1697
798	174	2881	1825
799	173	2911	1857
800	173	2911	1857
801	156	2890	1963
802	124	2914	2014
803	162	2963	2079
804	162	2963	2079
805	137	2986	2143
806	140	3015	2124
807	136	3084	2232
808	131	3159	2274
809	131	3159	2274
810	64	3157	2292
811	54	3140	2304
812	36	3090	2258
813	36	3090	2258
814	51	3048	2249
815	15	2987	2230
816	55	2887	2149
817	25	2806	2066
818	25	2806	2066
819	49	2717	1954
820	71	2592	1850
821	76	2517	1777
822	76	2517	1777
823	67	2405	1659
824	5	2345	1579
825	0	2215	1428
826	46	2098	1308
827	46	2098	1308
828	40	2005	1150
829	48	1942	911
830	73	1904	736
831	73	1904	736
832	61	1944	564
833	20	1954	393
834	18	1924	191
835	-32	1951	-17
836	-32	1951	-17
837	-14	1992	-194
838	-15	2061	-411
839	-52	2085	-558
840	-52	2085	-558
841	-86	2159	-691
842	-129	2230	-842
843	-180	2317	-1000
844	-223	2393	-1111
845	-223	2393	-1111
846	-288	2496	-1238
847	-357	2595	-1402
848	-479	2732	-1482
849	-479	2732	-1482
850	-532	2808	-1511
851	-641	2870	-1663
852	-745	2898	-1667
853	-835	2977	-1751
854	-835	2977	-1751
855	-888	3004	-1858
856	-986	3020	-1891
857	-1041	3088	-1923
858	-1041	3088	-1923
859	-1147	3185	-1982
860	-1217	3284	-2000
861	-1331	3346	-2016
862	-1440	3422	-2060
863	-1440	3422	-2060
864	-1569	3474	-2094
865	-1740	3567	-2096
866	-1886	3659	-2156
867	-1886	3659	-2156
868	-2020	3741	-2153
869	-2200	3902	-2094
870	-2380	4050	-2043
871	-2557	4191	-2039
872	-2557	4191	-2039
873	-2697	4303	-1959
874	-2811	4284	-1955
875	-2927	4372	-1896
876	-2927	4372	-1896
877	-2987	4434	-1923
